2000,
Action,4724647881
Sci-Fi,1637620956
Adventure,5024512036
Thriller,4300754714
Drama,6559082019
Romance,3242416406
Comedy,5901482043
Fantasy,2494472174
Animation,1323131200
Family,2216841264
Horror,1346228368
Mystery,1169331489
Crime,2330347727
Biography,533575110
Sport,601063483
History,307964224
War,436920238
Music,523522806
Western,117407962
Musical,248908588
Documentary,74563868
Short,57592420
2001,
Action,5942383747
Sci-Fi,2170166968
Adventure,6297194419
Family,3500020614
Fantasy,5385743503
Drama,6061015984
Animation,1886876182
Comedy,5931441204
Romance,3985998796
Crime,3004507132
Thriller,5220232213
War,906624348
Biography,570064265
Mystery,1829934934
Horror,754447139
Musical,227171797
History,206618193
Music,243447655
Sport,271203041
Western,89161007
Short,58706382
Documentary,41106567
2002,
Action,6915233023
Sci-Fi,4170760809
Adventure,7930823417
Drama,7634544896
Fantasy,4498769454
Family,3561174842
Mystery,3588157995
Comedy,6279262612
Thriller,4763159393
Animation,1301895171
Romance,2679380668
Crime,3092699903
Biography,611653902
Musical,448780197
Horror,994541975
Music,490993540
War,661842937
Documentary,322213321
Western,122563539
Sport,451601669
History,180376910
Short,21098446
2003,
Action,8988508245
Sci-Fi,3072893825
Adventure,6333712290
Drama,6111537215
Fantasy,4357299703
Animation,1692735275
Comedy,8600163483
Family,3501302340
Thriller,4164005578
Crime,3422230427
Romance,2756311949
Mystery,1413182968
Musical,568022840
War,555130212
Horror,914685335
Music,678194790
History,208498201
Sport,265139251
Western,106660570
Biography,214394369
Documentary,97339564
Short,29388999
2004,
Action,6566240059
Sci-Fi,3405944419
Adventure,8235269973
Animation,2891288249
Comedy,7533881117
Family,5121657960
Fantasy,4074717002
Romance,4691926994
Mystery,3178037432
Drama,7075013537
Thriller,5560179804
Crime,2072716789
Musical,644203359
Documentary,296245577
War,884448681
Sport,705394418
Biography,1057200911
Horror,1585321700
Music,614842717
History,383627678
Western,367221302
2005,
Action,6037930683
Sci-Fi,3541888779
Adventure,7946062665
Family,5458052271
Fantasy,5369884384
Mystery,3172403001
Romance,4957004737
Animation,1794716154
Comedy,8025995139
Crime,3198572085
Thriller,3703016819
Musical,825677137
Drama,5805276301
Horror,1762827151
History,642193508
War,600407517
Sport,1001977773
Biography,756592761
Music,500051543
Western,163301924
Documentary,201989230
Short,74596537
2006,
Action,6076202890
Sci-Fi,1711305299
Adventure,8535774737
Fantasy,4010649290
Mystery,2425278193
Thriller,6122142978
Animation,3031091259
Comedy,8375984669
Family,4826933019
Sport,1269864343
Music,809622863
Musical,565744810
Romance,3386180791
Drama,7352761438
Biography,806802941
Crime,2496195044
Horror,1177012823
History,726372827
Documentary,263916072
Short,98230905
War,401538770
Western,44360757
2007,
Action,9118815477
Sci-Fi,3661796307
Adventure,9660646109
Fantasy,6808737901
Family,5823194767
Mystery,3607372722
Animation,3476877460
Comedy,8662246076
Romance,4263956620
Drama,7074328519
Horror,2051243297
Thriller,6193995063
Music,1005384420
Musical,1319980853
Crime,2833201252
Biography,946926887
Sport,594876942
War,765469816
History,640934901
Documentary,195721127
Western,70016220
Short,50652463
2008,
Action,10242357763
Sci-Fi,4008687537
Crime,4102733209
Drama,10419270655
Thriller,6368940766
Adventure,9696740296
Animation,2986650150
Comedy,9276433827
Family,5249347580
Fantasy,5463172133
Musical,862911719
Romance,5937442211
Mystery,2046899675
Horror,1392539163
Music,948158496
History,1146216566
War,1022225140
Western,283762310
Biography,544889235
Sport,356713821
Documentary,93373808
2009,
Action,12407142012
Sci-Fi,8275089278
Adventure,13800706331
Fantasy,8934992014
Family,6665354421
Mystery,3736553001
Animation,3797757221
Comedy,9612970814
Drama,8249612214
Romance,4153883724
Thriller,4414070796
Music,1197743164
Musical,871768348
Crime,2065213299
War,668215573
Biography,1282516688
Sport,869629043
Documentary,347073172
History,611714750
Horror,1366504745
Short,55902624
2010,
Action,9889988789
Sci-Fi,3711257683
Adventure,12371359585
Animation,4655193394
Comedy,9485816372
Family,9074456794
Fantasy,9278987175
Mystery,4336419917
Thriller,6305239116
Romance,5822564342
Drama,8883871118
Musical,702200565
Crime,2781788109
Biography,1043417076
History,1099411424
Sport,553494815
Horror,1521898824
Western,357000241
Documentary,329026077
Music,558432575
War,493219896
2011,
Action,12213396143
Sci-Fi,4735540330
Adventure,13247235016
Family,7702653911
Fantasy,8534340915
Mystery,4549336984
Drama,8280681433
Romance,4235246205
Thriller,6125049864
Animation,4684173702
Comedy,11281107076
Crime,2736563646
Sport,1073313408
Music,1037286503
Musical,1580823549
Western,420546928
Horror,1239854799
War,198214524
Biography,475917249
Documentary,171539049
History,229839514
Short,41644475
2012,
Action,13334619088
Sci-Fi,7270810220
Adventure,14243421654
Thriller,8422670826
Drama,11375380288
Fantasy,7532226467
Animation,4875798752
Comedy,11410085226
Family,5678928389
Romance,4611471411
Mystery,2153646336
Sport,700440391
Musical,937610736
Western,425368238
War,1164991309
Crime,2109480111
Horror,1820162969
Biography,806835278
History,1475385350
Music,665969644
Documentary,124695194
Short,23695388
2013,
Action,13220988646
Sci-Fi,8885627569
Adventure,14847639135
Animation,5574382372
Comedy,10661263966
Family,6343514499
Fantasy,8176903352
Musical,1280802282
Crime,5826115972
Drama,9312755709
Thriller,7895255391
Horror,2143923616
Biography,1842205161
Romance,2329713249
Mystery,2067863090
Sport,843859024
Western,350640584
History,441448662
War,513806687
Documentary,100850949
Music,101468217
2014,
Action,17428611304
Sci-Fi,11614622413
Adventure,16787130908
Fantasy,6674640186
Comedy,11176894469
Drama,10750115410
Family,6441412627
Romance,4005368442
Thriller,8285474574
Animation,3903657096
Crime,4218161719
Biography,1676975885
War,1757385653
Music,1089843763
Musical,1070749645
Mystery,2520741100
History,940528219
Horror,1211371358
Sport,406871492
Western,87189756
Documentary,34012261
2015,
Action,19150554802
Sci-Fi,11345339366
Adventure,19898679729
Crime,5691715043
Thriller,10875491462
Animation,4501410900
Comedy,11906724596
Family,6144813192
Drama,10368740573
Fantasy,6350305921
Romance,3429616197
Western,751655435
Music,975554178
Horror,1240566346
Mystery,2118260697
Musical,333079941
Biography,1573146179
History,1170794771
Sport,521522319
War,463521981
Documentary,103622475
Reality-TV,68782475
2016,
Action,17621419587
Sci-Fi,8622595855
Adventure,17678792159
Animation,8174165365
Comedy,13068725322
Family,9548400662
Fantasy,10814888966
Crime,4230662091
Mystery,3758163556
Drama,10584294739
Musical,3070123492
Romance,4545597047
Music,635316787
Thriller,6086624748
Horror,1838341309
Biography,1584812744
Sport,522060728
History,1041543418
War,799072719
Western,225276463
Documentary,74402331
2017,
Action,19013870937
Sci-Fi,11744585403
Adventure,19375357556
Fantasy,14038250858
Family,7242768210
Musical,2573486314
Romance,3222792686
Crime,5719734617
Thriller,10514111963
Animation,4773440352
Comedy,11736513904
Drama,11201994419
War,2994665099
Mystery,4009324022
Horror,2945897774
History,1406877694
Biography,1089188778
Sport,818997237
Music,675747317
Western,192880916
Documentary,26289378
2018,
Action,19416158305
Sci-Fi,15226999395
Adventure,19731802907
Animation,4634194121
Comedy,12607584809
Family,6442683000
Fantasy,7575009452
Biography,2178694150
Drama,10501273418
Music,1747883662
Thriller,7129126094
War,867705111
Mystery,3038498209
Sport,969180030
Horror,3154940350
Romance,3354873767
Musical,1815608211
Crime,2838029265
History,809956323
Documentary,124741363
2019,
Action,17855606550
Sci-Fi,10619476125
Adventure,21928432307
Drama,17080644676
Animation,7774310370
Family,10735458015
Fantasy,14052778815
Musical,4702091541
Comedy,13146526544
Crime,4071710083
Thriller,8700215439
Romance,3827421590
Horror,2739955345
History,1547096162
Mystery,2661488532
War,786721883
Sport,594667604
Biography,1118176730
Music,423930634
2020,
Action,4155510154
Sci-Fi,1311030962
Drama,3578225309
History,621696910
War,685562554
Adventure,2731036947
Animation,1563489040
Fantasy,2708391716
Thriller,2409084675
Comedy,3136886596
Crime,1118577604
Family,2209673575
Horror,567200680
Mystery,604326724
Music,200086240
Musical,176674289
Romance,642335686
Biography,164451428
Sport,76458806
Western,23504011
Documentary,18271692
Short,4853143
2021,
Action,11309252452
Sci-Fi,6694401033
Adventure,9200144138
Fantasy,6588523710
Drama,6574882248
History,1147253004
War,953300437
Comedy,5595512421
Thriller,5091522250
Crime,2822740578
Mystery,2231237303
Animation,2604623770
Family,2156644331
Musical,870180721
Horror,1343325424
Sport,268058122
Biography,397420676
Romance,1027816538
Western,146219592
Music,197997433
Short,7658021
2022,
Action,13949305645
Sci-Fi,9517072281
Adventure,11724715386
Fantasy,7154720774
Drama,7302155813
Thriller,4798397919
Animation,3069672455
Comedy,6844888244
Crime,3019145732
Family,3440593280
Mystery,2405699087
Romance,1853759064
History,1113950532
War,783027404
Biography,509360232
Music,550997821
Horror,1565091114
Sport,151552862
Musical,213697123
Documentary,151693395
Western,9464198
2023,
Action,9621081318
Sci-Fi,5414681027
Adventure,13701062440
Comedy,8854470809
Fantasy,8104333074
Animation,4464127070
Family,4892650768
Biography,1810074255
Drama,5260326160
History,1898406630
Crime,2841072591
Mystery,2596941813
Thriller,5861524233
Musical,1888528294
Romance,2195513599
Horror,2558340648
War,773278833
Sport,725949893
Documentary,317476813
Music,368003190
Western,157026901
2024,
Action,3711887797
Sci-Fi,2277260338
Adventure,4392694260
Animation,2086011574
Comedy,3124277276
Drama,3224064693
Family,1876840118
Fantasy,2705969785
Thriller,2442175601
Crime,685315256
Biography,271560552
Music,277963944
Musical,108111231
Horror,495938603
Mystery,361216091
Romance,358298163
Sport,266973683
War,40665801
History,94638858
Western,19077748
Documentary,37135298
